Date,subjectivity,polarity,sentiment,djia_close1,djia_volume,qqq_close,axjo_close,clf_close,djia_close2
2008-08-08,subjective,negative,negative,up,down,up,up,down,down
2008-08-11,subjective,positive,negative,down,down,up,up,down,down
2008-08-12,objective,negative,negative,down,up,down,down,up,up
2008-08-13,subjective,positive,negative,up,down,up,up,down,up
2008-08-14,subjective,positive,negative,up,up,down,up,down,down
2008-08-15,subjective,positive,negative,down,down,down,up,down,down
2008-08-18,subjective,positive,negative,down,up,down,down,up,up
2008-08-19,subjective,negative,negative,up,down,up,up,up,up
2008-08-20,subjective,positive,negative,up,down,down,down,up,up
2008-08-21,subjective,positive,negative,up,up,up,up,down,down
2008-08-22,subjective,positive,negative,down,up,down,up,up,up
2008-08-25,objective,negative,negative,up,down,down,down,up,up
2008-08-26,subjective,positive,negative,up,up,up,up,up,up
2008-08-27,subjective,negative,negative,up,up,up,up,down,down
2008-08-28,subjective,negative,negative,down,up,down,up,down,down
2008-08-29,subjective,negative,negative,down,up,down,down,down,up
2008-09-02,subjective,negative,negative,up,down,down,down,down,down
2008-09-03,subjective,positive,negative,down,up,down,down,down,up
2008-09-04,subjective,negative,negative,up,down,down,down,down,up
2008-09-05,subjective,positive,negative,up,up,down,up,up,down
2008-09-08,subjective,negative,negative,down,down,down,down,down,up
2008-09-09,subjective,negative,negative,up,down,up,down,down,up
2008-09-10,subjective,positive,negative,up,up,up,down,down,down
2008-09-11,subjective,positive,negative,down,down,down,up,up,down
2008-09-12,subjective,positive,negative,down,up,down,down,down,up
2008-09-15,subjective,negative,negative,up,up,up,down,down,down
2008-09-16,subjective,negative,negative,down,down,down,down,up,up
2008-09-17,subjective,negative,negative,up,up,up,down,up,up
2008-09-18,subjective,positive,negative,up,up,up,up,up,down
2008-09-19,subjective,positive,negative,down,down,down,up,up,down
2008-09-22,subjective,negative,negative,down,down,down,down,down,down
2008-09-23,subjective,negative,negative,down,down,up,up,down,up
2008-09-24,subjective,negative,negative,up,up,up,down,up,up
2008-09-25,subjective,negative,negative,up,up,down,down,down,down
2008-09-26,subjective,positive,negative,down,up,down,down,down,up
2008-09-29,subjective,positive,negative,up,down,up,down,up,down
2008-09-30,subjective,positive,negative,down,down,down,up,down,down
2008-10-01,objective,positive,negative,down,up,down,down,down,down
2008-10-02,subjective,positive,negative,down,down,down,down,down,down
2008-10-03,subjective,negative,negative,down,up,down,down,down,down
2008-10-06,subjective,positive,negative,down,down,down,up,up,down
2008-10-07,subjective,negative,negative,down,up,down,down,down,down
2008-10-08,subjective,positive,negative,down,down,down,down,down,down
2008-10-09,subjective,negative,negative,down,up,down,down,down,up
2008-10-10,subjective,positive,negative,up,down,up,up,up,down
2008-10-13,subjective,positive,negative,down,up,down,up,down,down
2008-10-14,subjective,positive,negative,down,down,down,down,down,up
2008-10-15,subjective,positive,negative,up,up,up,down,down,down
2008-10-16,subjective,positive,negative,down,down,up,down,up,up
2008-10-17,subjective,positive,negative,up,down,up,up,up,down
2008-10-20,subjective,positive,negative,down,down,down,up,down,down
2008-10-21,subjective,positive,negative,down,up,down,down,down,up
2008-10-22,subjective,positive,negative,up,down,down,down,up,down
2008-10-23,subjective,negative,negative,down,down,down,down,down,down
2008-10-24,subjective,negative,negative,down,down,down,down,down,up
2008-10-27,objective,negative,negative,up,up,up,down,down,down
2008-10-28,subjective,negative,negative,down,down,down,up,up,up
2008-10-29,subjective,positive,negative,up,down,up,up,down,up
2008-10-30,subjective,negative,negative,up,up,up,up,up,down
2008-10-31,subjective,negative,negative,down,down,down,up,down,up
2008-11-03,subjective,positive,negative,up,up,up,down,up,down
